Habitat	Flower petal color	Leaf type	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type	Fruit length (mm)	Bulblets replace flowers	Carpels fused	Cleistogamous flowers	Corolla palate	Epicalyx	Epicalyx number of parts	Flower description	Flower reproductive parts	Form of style	Fused stamen clusters	Hypanthium	Inner tepals (Rumex)	Marks on petals	Nectar spur	Number of carpels	Number of pistils	Number of styles	Ovary position	Petal and sepal colors	Petal appearance	Petal folds or pleats	Petal hairs (Viola)	Petal length relative to sepals	Petal number	Petal tips (Cuscuta)	Reproductive system	Scales inside corolla	Sepal and petal color	Sepal appendages	Sepal length	Sepal number	Sepals fused only to sepals	Stamen attachment	Stamen position relative to petals	Stamens fused	Staminodes	Stigma position	Umbel flower reproductive parts	Upper lip of bilabiate corolla	Achene relative orientation	Achene shape	Achene surface (Polygonum)	Achene type	Berry color	Capsule color (Viola)	Fruit (pyxis) dehiscence	Fruit features (Brassicaceae)	Fruit locules	Fruit type (specific)	Legumes (Fabaceae)	Mericarp length	Mericarp segment shape (Desmodium)	Spots or streaks on berries	Ovary stipe	Rows of seeds in fruit (Brassicaceae)	Schizocarpic fruit compression	Schizocarpic fruit segments	Seed relative length	Seed surface	Wings on fruit	Fruits with thorn-like defensive structures	Leaves have glandular dots or scales	Sap	Sap color	Growth form	Young leaf color	Spines on plant	Bracteole number (Apiaceae)	Final leaf segment length (compound lvs only)	Final leaf segment length to width ratio (compound lvs only)	Hairs on underside of leaf	Hairs on upper side of leaf	Leaf arrangement	Leaf blade base	Leaf blade base shape	Leaf blade hairs	Leaf blade length	Leaf blade shape	Leaf surface color	Leaf blade width	Leaf spines	Leaf stalks	Leaf stalk attaches to leaf	Leaf stalk base	Leaf teeth and lobes	Leaflet number	Leaves per node	Pinnately compound leaves	Stipule features	Stipules	Branched tendrils	Hair between stem nodes	Leaves on flowering stem	Plant height (cm)	Tendril origin	Tendrils	Corolla morphology	Inflorescence	Petal and sepal arrangement	Petal length	Capsule ribs	Capsule splits	Leaf tip	Hairs between stem nodes	Anther with pink, reddish, or purplish tint	Anther tube length (mm)	Calyx growth after flowering	Calyx symmetry	The petal margins have cilia	Filament surface	Flower diameter (mm)	Flower number	Flower orientation	Fringed petal edges	Hairs on flower stalk	Hairs on inflorescence axis	Length of peduncle	Number of branches in umbel	Perianth shape	Petal narrows at the base	Petal outline	Petal tip shape	Sepal appearance	Sepal color	Sepal shape	Sepal uniformity	Stamen lengths	The stigma protrudes beyond the mouth of the corolla	Fruit shape	Fruit stalk orientation	Fruit width	Hairs on fruit	Bracteoles	Final leaf segment width (compound lvs only)	Floral bract texture	Floral bracts	Hairs on leaf stalk	Hooked hairs on underside of leaf	Inflated hairs on leaf	Leaf blade base symmetry	There is a noticeable powdery or waxy bloom on the underside of the leaf	Leaf blade flatness	Leaf blade primary vein pattern	Leaf blade texture	Leaf blade vein pattern	Leaf blade veins	Leaf hair orientation	The upper side of the leaf	Leaf stalk length	Tufts (clusters) of small leaves in axils	Leaf appearance change from the base to further up on the stem	Leaf appearance along the stem	Leaflet petiolules	Stipels	Plant odor	Direction of stem hairs	Hooked hairs on stem between nodes	The stem has a powdery or waxy film on it that can be rubbed away	Stem nodes swollen	Stem orientation	Stem spacing	The petals have at least one nectary	Petal width	Sepal texture	Hypanthium length	Inflorescence length	Style length (mm)	The stipule margins have teeth on them	The stipules are fused to the petioles for some or most of their length	Stipule length (mm)	Flowering stem width	The stems are succulent	Stamen length	Flower length	Anther attachment	Inflorescence width	The sepals have cilia on their edges	Sepal special features	Sepal tip shape	Relative fruit length	Anther length	Filament length (mm)	Inflorescence type	Fruit length to width ratio	Stigma length (mm)	Teeth per side of leaf blade				
terrestrial	?	simple	entire	radially symmetrical||bilaterally symmetrical	5	not fused	0||5	?	1.5^2	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	5	?	?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?||circular||oval	?	pericarp is loosely attached and often readily removed (utricle)	?	?	?	?	1	splits around the middle and the top falls off exposing the (pyxis)||dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	yes	0	0	0	fuzzy or hairy||not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	30^150	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)||rhombic: roughly diamond-shaped	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	30^200	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	egg-shaped (ovoid)||spherical	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus spinosus	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial||wetlands	?	simple	entire	?||radially symmetrical||bilaterally symmetrical	5||4||3	not fused	0||5	dry but does not split open	1.5^2	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	dioecious: all the flowers of the same plant have either carpel or stamen	?	?	no	?	0^5	?	?||?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?||circular||oval	?	pericarp is loosely attached and often readily removed (utricle)	?	?	?||bursts open or shatters without a clear seam	?	1	splits around the middle and the top falls off exposing the (pyxis)||dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	15^150	widest near the middle and tapering at both ends (elliptic)||rectangular with rounded ends (oblong)||egg-shaped with the widest point above the middle (obovate)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	50^300	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	?||one cycle	?	?	?	?	?	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	egg-shaped, but with the widest point above the middle (obovoid)||spherical	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus tuberculatus	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	?	simple	entire	?||radially symmetrical||bilaterally symmetrical	3	not fused	0||3	dry but does not split open	1^1.6	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	3	?	?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	?	?||oval	?	?	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base	?	10^70	widest below the middle and broadly tapering at both ends (ovate)||rhombic: roughly diamond-shaped	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	20^100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	flat or strongly compressed||egg-shaped (ovoid)	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus viridis	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	blue to purple||white	compound	entire	bilaterally symmetrical	5||4	not fused||fused into a cup or tube	10	dry and splits open	15^40	no	?||solitary||not fused	some||no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	no marks	no	1	1	1	above the point of petal  attachment	blue to purple||white	thin, delicate, pigmented	no||yes	?	petals longer than sepals	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	5^6	4^5	yes	?	?	yes	no	at the tip of the style	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	with valves that split elastically and coil	?	?	?	yes	?	?	0	?	?	no	no	no	clear and watery	clear	vine	green	no	0	20^80	1^1.5	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	rounded at the base	simple hairs with no glands	?	widest below the middle and broadly tapering at both ends (ovate)||rhombic: roughly diamond-shaped	uniform	?	no	yes	at the basal margin	clasps the stem or sheathes the stem	entire	3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	<=150	?	no	?	nearly all flowers are arrayed on one side of the inflorescence axis||flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	10^15	?	?||by two main valves, teeth or pores	tapers to a long, thin point (acuminate)||sharply pointed (acute)	plain, without glands or branches, and not tangled	?	?	?	?	?	smooth, with no hairs or scales	?	1^17	bends downwards||hangs downwards	?	?	?	80^200	0	?	abruptly	ellipse-shaped: widest near the middle and tapering at both ends (elliptic)||egg-shaped with the widest point above the middle (obovate)	?	green or brown, and leaf-like in texture	blue to purple||green to brown||pink to red||white	?	?	?	?	flat or strongly compressed||longer than wide and with rounded ends (obloid)	?	8^10	yes	no	any	?	yes	?	no	no	asymmetrical||symmetrical	no||yes	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	the major veins branch, but do not rejoin	?	flat against the leaf surface, mostly pointing towards the leaf tip	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	yes	?	pressed flat against the plant, pointing towards the tip||point mostly upwards to outwards	no	no	no	trail at the base, but may turn upwards at the tips	?	?	?	?	?	?	?	?	?	?	?	?	?	12^18	?	?	?	?	?	?	?	?	?	?	?	0	Amphicarpaea bracteata	Amphicarpaea	Fabaceae	Fabales
terrestrial	orange||yellow	simple	entire	radially symmetrical	5	fused into a cup or tube	5	dry but does not split open	2^3.5	no	fused	no	no	no	0	superior ovary and no hypanthium	?	?	?	no	?	?	no	?	1	1	above the point of petal  attachment	orange||yellow	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals||attached at the bases of petals	lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	4	splits into sections with one or more seeds each (schizocarp)	?	2.5^4	?	?	no	?	not flattened	4	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	fuzzy or hairy	?	1 leaf per node (alternate)	has no stalk||clasps the stem at the base	wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base||ends abruptly in a straight line as though cut off (truncate)	?	?	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||very narrow with more or less parallel sides (linear)||rectangular with rounded ends (oblong)	uniform	?	no	?	?	?	?	0	one	?	?	no	?	?	at least one full leaf above the base	20^120	?	no	?	nearly all flowers are arrayed on one side of the inflorescence axis	two cycles	?	?	?	?	plain, without glands or branches, and not tangled	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amsinckia eastwoodiae	Amsinckia	Boraginaceae	Boraginales
terrestrial	yellow	simple	entire	radially symmetrical	5	fused into a cup or tube	5	dry but does not split open	2.5^3	no	fused	no	no	no	0	superior ovary and no hypanthium	?	?	?	no	?	?	no	?	1	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	attached at the bases of petals||attached at the bases of petals	lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	4	splits into sections with one or more seeds each (schizocarp)	?	2^3	?	?	no	?	not flattened	4	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	fuzzy or hairy	?	1 leaf per node (alternate)	has stalk (petiole)||has no stalk	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	<=100	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||very narrow with more or less parallel sides (linear)||rectangular with rounded ends (oblong)	uniform	?	no	?	?	?	?	0	one	?	?	no	?	?	at least one full leaf above the base	10^60	?	no	?	nearly all flowers are arrayed on one side of the inflorescence axis	two cycles	?	?	?	?	plain, without glands or branches, and not tangled	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amsinckia lycopsoides	Amsinckia	Boraginaceae	Boraginales
terrestrial	yellow	simple	entire	radially symmetrical	5	fused into a cup or tube	5	dry but does not split open	2^3.5	no	fused	no	no	no	0	superior ovary and no hypanthium	?	?	?	no	?	?	no	?	1	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no	?	?	5	?	?	no	is different	no	?	5	?	attached at the bases of petals||attached at the bases of petals	lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	4	splits into sections with one or more seeds each (schizocarp)	?	2^3.5	?	?	no	?	not flattened	4	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	fuzzy or hairy	?	1 leaf per node (alternate)	has stalk (petiole)||has no stalk	wedge-shaped with straight, converging edges at the base (cuneate), or narrow||ends abruptly in a straight line as though cut off (truncate)	?	30^80	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||very narrow with more or less parallel sides (linear)||rectangular with rounded ends (oblong)	uniform	?	no	?	?	?	?	0	one	?	?	no	?	?	at least one full leaf above the base	20^120	?	no	?	nearly all flowers are arrayed on one side of the inflorescence axis	two cycles	?	?	?	?	plain, without glands or branches, and not tangled	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amsinckia menziesii	Amsinckia	Boraginaceae	Boraginales
wetlands	blue to purple	simple	entire	radially symmetrical	5	fused into a cup or tube	5	dry and splits open	80^120	no	?	no	no	no	0	superior ovary and no hypanthium	?	two or more completely separate styles	?	no	?	?	no	?	?	?	above the point of petal  attachment	blue to purple	thin, delicate, pigmented	no	?	?	5	?	?	no	is different	no	?	?	?	attached at the bases of petals||attached at the bases of petals	lined up with petals	?	no	?	?	?	?	?	?	?	?	?	?	?	1	one ovary splits along one side to release the seeds (follicle)	?	?	?	?	no	?	?	0	?	?	no	no	no	milky and opaque	white	?	green	no	0	?	0	fuzzy or hairy||not hairy, or with very few hairs	?	1 leaf per node (alternate)	?	?	?	80^150	widest near the middle and tapering at both ends (elliptic)||lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	?	at the basal margin	is narrow where it attaches to the stem	?	0	one	?	?	no	?	?	?	10^40	?	no	?	?	two cycles	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	sharply pointed (acute)||bluntly pointed (obtuse)||rounded	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amsonia tabernaemontana	Amsonia	Apocynaceae	Gentianales
terrestrial	blue to purple	simple	teeth||entire	bilaterally symmetrical	5	fused into a cup or tube	5	dry but does not split open	3^4	no	fused	no	no	no	0	superior ovary and no hypanthium	?	knob-like at the tip, and unbranched	?	no	?	?	no	?	1	1	above the point of petal  attachment	blue to purple	thin, delicate, pigmented	no	?	?	5	?	?	yes	is different	no	?	5	?	attached at the bases of petals||attached at the bases of petals	lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	4	splits into sections with one or more seeds each (schizocarp)	?	1.5^2	?	?	no||yes	?	not flattened	4	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	fuzzy or hairy	?	1 leaf per node (alternate)||2 leaves per node (opposite)	has no stalk	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	40^80	lance-shaped; widest above the middle (oblanceolate)||rectangular with rounded ends (oblong)	uniform	?	no	?	?	?	?	0	one	?	?	no	?	?	at least one full leaf above the base	20^60	?	no	?	nearly all flowers are arrayed on one side of the inflorescence axis||flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	plain, without glands or branches, and not tangled	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Anchusa arvensis	Anchusa	Boraginaceae	Boraginales
terrestrial	blue to purple	simple	entire	radially symmetrical	5	fused into a cup or tube	5	dry but does not split open	5^9	no	fused	no	no	no	0	superior ovary and no hypanthium	?	knob-like at the tip, and unbranched	?	no	?	?	no	?	1	1	above the point of petal  attachment	blue to purple	thin, delicate, pigmented	no	?	?	5	?	?	yes	is different	no	?	5	?	attached at the bases of petals||attached at the bases of petals	lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	4	splits into sections with one or more seeds each (schizocarp)	?	?	?	?	no||yes	?	not flattened	4	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	fuzzy or hairy	?	1 leaf per node (alternate)	has stalk (petiole)||has no stalk||clasps the stem at the base	wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base	?	50^300	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||lance-shaped; widest above the middle (oblanceolate)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	?	?	?	?	0	one	?	?	no	?	?	at least one full leaf above the base	20^150	?	no	?	nearly all flowers are arrayed on one side of the inflorescence axis||flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	plain, without glands or branches, and not tangled	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Anchusa azurea	Anchusa	Boraginaceae	Boraginales
terrestrial	blue to purple||pink to red	simple	entire	radially symmetrical	5	fused into a cup or tube	5	dry but does not split open	3^4	no	fused	no	no	no	0	superior ovary and no hypanthium	?	knob-like at the tip, and unbranched	?	no	?	?	no	?	1	1	above the point of petal  attachment	blue to purple||pink to red	thin, delicate, pigmented	no	?	?	5	?	?	yes	is different	no	?	5	?	attached at the bases of petals||attached at the bases of petals	lined up with sepals	?	no	?	?	?||with 2 lobes	?	?	?	?	?	?	?	?	4	splits into sections with one or more seeds each (schizocarp)	?	?	?	?	no||yes	?	not flattened	4	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	fuzzy or hairy	?	1 leaf per node (alternate)	has stalk (petiole)||has no stalk	wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base	?	<=200	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||lance-shaped; widest above the middle (oblanceolate)	uniform	?	no	?	?	?	?	0	one	?	?	no	?	?	at least one full leaf above the base	30^80	?	no	?	nearly all flowers are arrayed on one side of the inflorescence axis||flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	?	plain, without glands or branches, and not tangled	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Anchusa officinalis	Anchusa	Boraginaceae	Boraginales
terrestrial	yellow	compound	entire	radially symmetrical	5	not fused	5	dry but does not split open	3^6	no	fused	no	no	no	0	inferior ovary, with or without hypanthium	?	two or more completely separate styles	?	no	?	?	no	2	1	2	below the point of petal attachment	yellow	thin, delicate, pigmented	no	?	?	5	?	?	no	?	no	?	0	?	not attached to petals	lined up with sepals	no	no	?	all the flowers have both carpels and stamens	?	?	?	?	?	?	?	?	?	2	splits into sections with one or more seeds each (schizocarp)	?	3^5	?	?	no	?	flattened parallel to the commissure	2	?	?	?	no	no	clear and watery	clear	herb	green	no	0	?	?	not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	?	?	120^350	extremely narrow, thread-like (filiform)||very narrow with more or less parallel sides (linear)	uniform	?	no	?	?	?	?	?	one	?	?	no	?	?	at least one full leaf above the base	30^150	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	no	?	?	?	?	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Anethum graveolens	Anethum	Apiaceae	Apiales
terrestrial||wetlands	green to brown||white	compound	teeth	radially symmetrical||bilaterally symmetrical	5	not fused	5	dry but does not split open	4^6.5	no	fused	no	no	no	0	inferior ovary, with or without hypanthium	both pollen- and seed-producing parts	two or more completely separate styles	?	no	?	no marks	no	2	1	2	below the point of petal attachment	green to brown||white	thin, delicate, pigmented	no	?	?	5	?	synoecious: all flowers have carpels and stamens	no	?||is different	no	?	0	yes	not attached to petals	lined up with sepals	no	no	?	all the flowers have both carpels and stamens	?	?	?	?	?	?	?	?	?	2	splits into sections with one or more seeds each (schizocarp)	?	4^6.5	?	?	no	?	flattened parallel to the commissure	2	?	?	yes	no	no	clear and watery	clear	herb	green	no	>=0	40^150	?	fuzzy or hairy||not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	?	simple hairs with no glands	100^300	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	yes	at the basal margin	clasps the stem or sheathes the stem	forward-pointing teeth	?	one	have a terminal leaflet (odd number of leaflets per axis)	?	no	?	no	at least one full leaf above the base	100^200	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle||two cycles	?	?	?	sharply pointed (acute)	no	?	?	?	?	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	18^50	?	?	egg-shaped with the widest point above the middle (obovate)||widest below the middle and broadly tapering at both ends (ovate)	?	green or brown, and leaf-like in texture	?||green to brown	?	?	?	?	widest in the middle and tapering to each end (ellipsoid)||longer than wide and with rounded ends (obloid)	point upward or spread or curve outward	?	no	yes||no	40^70	?	no||yes	?	no	no	?	no||yes	?	the secondary veins branch off at intervals from the primary vein	?	?	?	?	?	?	?	gradual	the lower leaves are larger, toothier, and/or on longer stalks than the upper leaves	?	no	?	?	no	yes||no	?	upright or angled outwards	solitary plant||a few plants are growing together	?	?	?	?	30^70	?	?	?	0	?	?	?	?	?	100^200	?	?	?	?	?	?	?	?	?	?	Angelica atropurpurea	Angelica	Apiaceae	Apiales
